specificPlaceKey,specificNameZh,specificNameEn,specificCountryCode,specificAdmin1Code,specificAdmin2Code,specificFeatureCode,suggestedSummaryPlaceKey,suggestedSummaryNameZh,suggestedSummaryNameEn,groupingLevel,confidence,reason,source,riskLevel,reviewStatus,reviewerDecision,reviewerNotes,stationCount,sampleStationCodes,sampleStationNamesZh
cn-danyang,丹阳,Danyang,CN,07,3501,,cn-zhenjiang,镇江,Zhenjiang,prefecture,reviewed,Reviewed seed grouping already applied to runtime Journey/Summary grouping.,data-sources/place/place-grouping-reviewed.json,low,already_applied,already_applied,Reviewed safe city-level roll-up for Journey/Summary grouping.,2,DYH | EXH,丹阳 | 丹阳北
cn-hailin,海林,Hailin,CN,08,2310,,cn-mudanjiang,牡丹江,Mudanjiang,prefecture,reviewed,Reviewed seed grouping already applied to runtime Journey/Summary grouping.,data-sources/place/place-grouping-reviewed.json,low,already_applied,already_applied,Reviewed safe city-level roll-up for Journey/Summary grouping.,2,HRB | KBX,海林 | 海林北
cn-bazhou,霸州,Bazhou,CN,10,1310,,cn-sanhe,三河,Sanhe,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,5,RMP | VPP | FOP | PAW,霸州 | 霸州北 | 霸州西 | 蓬安
cn-changping,昌平,Changping,CN,22,11876380,,cn-beijing,北京,Beijing,municipality,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,5,CPP | DAQ | VBP | FQQ,昌平 | 常平 | 昌平北 | 常平东
cn-changle,,Changle,CN,25,3707,,cn-weifang,潍坊,Weifang,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,4,CLK | CAS | CIS | CVS,昌乐 | 长乐 | 长乐东 | 长乐南
cn-dongsheng,,Dongsheng,CN,20,1506,,cn-ordos,鄂尔多斯市,Ordos,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,4,DRQ | DOC | RSC | DYC,东升 | 东胜 | 东胜东 | 东胜西
cn-fengcheng,凤城,Changshohein,CN,33,8739734,,cn-chongqing,重庆,Chongqing,municipality,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,4,FCG | FIG | FDT | FNG,丰城 | 丰城东 | 凤城东 | 丰城南
cn-luefeng,侣俸,Lüfeng,CN,33,8739734,,cn-chongqing,重庆,Chongqing,municipality,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,4,LLQ | LDA | LAA | LQM,陆丰 | 陆丰东 | 陆丰南 | 禄丰南
cn-xinyi,新安,Xinyi,CN,04,3203,,cn-xuzhou,徐州市,Xuzhou,prefecture,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,4,EAM | VIH | EEQ | XYU,新安 | 新沂 | 信宜 | 新沂南
cn-changge,建设,Changge,CN,09,4110,,cn-xuchang,将官池,Xuchang,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,CEF | CGF | JET,长葛 | 长葛北 | 建设
cn-gucheng,,Gucheng,CN,25,3707,,cn-weifang,潍坊,Weifang,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,GCN | GBN | GUU,谷城 | 谷城北 | 古城东
cn-hanyuan,,Hanyuan,CN,26,6107,,cn-hanzhong,汉中市,Hanzhong,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,WHW | NQY | NOY,汉源 | 宁强 | 宁强南
cn-huarong,,Huarong,CN,12,4207,,cn-huangzhou,,Huangzhou,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,HRN | HPN | KRN,华容 | 华容东 | 华容南
cn-huashan,,Huashan,CN,04,3203,,cn-xuzhou,徐州市,Xuzhou,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,HGY | HDY | KNN,华山 | 华山北 | 花山南
cn-jiashan,,Jiashan,CN,02,3304,,cn-jiaxing,嘉兴,Jiaxing,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,JSH | JOP | EAH,嘉善 | 甲山 | 嘉善南
cn-linghai,,Linghai,CN,19,2107,,cn-jinzhou,锦州市,Jinzhou,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,JUG | JID | UNT,进贤 | 凌海 | 凌海南
cn-linhai,临海,Linhai,CN,02,3310,,cn-taizhou-02,台州,Taizhou,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,LXX | UFH | LHU,林海 | 临海 | 临海南
cn-pingzhuang,,Pingzhuang,CN,20,1504,,cn-chifeng,赤峰,Chifeng,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,PAD | PZD | PND,平庄 | 平庄北 | 平庄南
cn-songcheng,,Songcheng,CN,07,3509,,cn-ningde,宁德市,Ningteh,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,FNP | AKH | FNM,抚宁 | 阜宁 | 富宁
cn-wafangdian,,Wafangdian,CN,19,2102,,cn-dalian,大连市,Dalian,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,FEY | WDT | WXT,富县 | 瓦房店 | 瓦房店西
cn-xinhua,,Xinhua,CN,29,5305,,cn-baoshan-29,保山市,Baoshan,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,XHB | EHQ | EJQ,新华 | 新化 | 新化南
cn-yanping,延平,Yanping,CN,07,3507,,cn-nanping,南平市,Nanping,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,YPS | ADS | YWS,延平 | 延平东 | 延平西
cn-zhijiang,,Zhijiang,CN,12,4205,,cn-yichang,宜昌市,Yichang,prefecture,low,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,high,needs_review,,,3,ZPQ | ZIY | ZIN,芷江 | 治江 | 枝江北
cn-dengzhou,花洲,Dengzhou,CN,09,4113,,cn-nanyang,南阳市,Nanyang,prefecture,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,3,DOF | DDF | POK,邓州 | 邓州东 | 蓬莱市
cn-fuyuan,抚远,Fuyuan,CN,08,2308,,cn-jiamusi,佳木斯市,Jiamusi,prefecture,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,3,FYB | FYM | FBM,抚远 | 富源 | 富源北
cn-gaoping,高坪,Gaoping,CN,32,5113,,cn-nanchong,南充,Nanchong,prefecture,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,3,GPF | GGN | GVF,高平 | 高坪 | 高平东
cn-huanggang,黄冈市,Hwang Chow,CN,12,4211,,cn-e-zhou,鄂州市,Wuchang,prefecture,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,3,KGN | KAN | KXN,黄冈 | 黄冈东 | 黄冈西
cn-humen,虎门,Humen,CN,30,4419,,cn-dongguan,东莞市,Dongguan,prefecture,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,3,IUQ | HBA | HDA,虎门 | 虎门北 | 虎门东
cn-jian-ou,建瓯市,Jian’ou,CN,07,3507,,cn-nanping,南平市,Nanping,prefecture,medium,Current rail station place exists in Place Catalog and shares admin2 with a larger likely city/prefecture place.,railStations + place-catalog same-admin2 heuristic,medium,needs_review,,,3,JVS | JZS | JUS,建瓯 | 建瓯东 | 建瓯西
